date,lokasi,status,text,time,tweet_id,username,provinsi,label
2019-03-08,Malang,200,Dengan adanya zonasi sekolah  lebih memungkinkan terwujudnya Tri pusat pendidikan.  #ManfaatZonasiSekolah,14:02,1103913803589156865,@kwardani_retno,JAWA TIMUR,3
2019-06-18,Kota Surabaya Indonesia,200,Saya sih setuju banget sistem zonasi. Karena menurut saya tidak sepatutnya sekolah itu menyeleksi murid2-nya apalagi sekolah negeri yg dibiayai negara. Tugas sekolah justru mengubah murid yg gak bisa menjadi bisa.... https://www.facebook.com/cafebisnis/posts/10217367857645226 â€¦,20:03,1140968261472808960,@PakarBlog,JAWA TIMUR,1
2019-06-13,Banyuwangi-Indonesia,200,"""Kl pemerataan it bukan pke sistem zonasi. Tingkatin sekolah lwt kualitas pendidik dan sistem pengajaran perbaiki sarana dan prasana. Outputnya bs baik. Kl udh gt masy jg akan nyekolahin ankny dmn pun."" -wali murid #KamisSambat",12:00,1139034722514825221,@adjiethuq22,JAWA TIMUR,2
2019-03-02,Yogyakarta Indonesia,200,Menurutku kualitas sekolah terutama pengajar sama sarana prasarana harus disamain dulu. Baru boleh zonasi.,10:18,1101683234973220864,@sorangkapitenn,DI YOGYAKARTA,2
2019-06-10,Bandung Jawa Barat,200,Di sukabumi lagi rame sistem sekolah zonasi  mungkin ga sukabumi aja. Semua kota di jawa barat juga  terus ada sodara yg adat adatan ke Gubernur nya. Dulu dia nyuruh aing sampe maksa maksa milih gubernur pilihan dia  aing cuma bilang gini....,19:09,1138055681477468160,@AldyyNugroho,JAWA BARAT,3
2019-05-22,Malang Jawa Timur,200,Penasaran sih gimana caranya Dinas Pendidikan nentuin jumlah kuota per sekolah zonasi  sedangkan calon pendaftar di zonasi tersebut jumlahnya berkali-kali lipat.,13:14,1131080825355685889,@mutyalf,JAWA TIMUR,3
2019-06-20,BANDUNG,200,PPDB sistem zonasi itu bagus  tapi seharusnya harus ada prakondisi sebelum sistem itu dilakukan. Infrastruktur dan fasilitas belajar di setiap sekolah negeri harus sama  kualitas pengajar juga... https://www.facebook.com/story.php?story_fbid=1132690276913667&id=100005181153809 â€¦,16:50,1141644557190172672,@MelonArin01,JAWA BARAT,1
2019-06-19,Kota Surabaya Jawa Timur,200,Sepakat dengan zonasi  keuntungannya mengurangi macet dijalan  minimalisir mbolos  pendidikan sama rata. Semua sekolah bisa jadi favorit karena perataan tsb. Emang gamudah awalnya...,2:27,1141064916251529216,@theotitanio,JAWA TIMUR,1
2019-03-08,Jakarta Timur,200,Dengan zonasi sekolah ini  ga ada lagi nih istilah sekolah favorit. Da semua sekolah mah sama ya. #ManfaatZonasiSekolah,15:14,1103932053257482240,@PenaLiswanti,DKI JAKARTA,1
2019-06-17,Indonesia Surabaya,200,"Bukan meng-iya kan. Tapi dengan adanya sistem zonasi ituh membuat tydac adanya yang namanya ""sekolah favorit"". Jadi semua sekolah sama rata. Ada yang pinter  ada yang b aja  ada yang ....",21:53,1140633609922994176,@BatsaAulia,JAWA TIMUR,1
