date,lokasi,status,text,time,tweet_id,username,provinsi,label
2019-01-31,Kota Bandung Jawa Barat,200,Kenapa tidak dilakukan pemerataan kualitas dulu baru di berlakukan sistem zonasi ? terutama pemerataan FASILITAS sekolah karena jika semuanya sudah merata tanpa di paksa sistem pun masyarakat pasti lebih memilih sekolah yang lebih dekat,1:10,1090673509301252096,@yusuf_rizqi,JAWA BARAT,3
2019-01-31,Kota Bandung Jawa Barat,200,Kenapa tidak dilakukan pemerataan kualitas dulu baru di berlakukan sistem zonasi ? terutama pemerataan FASILITAS sekolah karena jika semuanya sudah merata tanpa di paksa sistem pun masyarakat pasti lebih memilih sekolah yang lebih dekat,0:53,1090669319548096512,@yusuf_rizqi,JAWA BARAT,1
2019-01-30,Bekasi - Semarang,200,"Mau saran ajasih Pak/Bu  kalau mau memakai sistem zonasi dalam jangka panjang  pemerataan fasilitas dan kualitas setiap sekolah harus sama rata. Karena label ""sekolah unggulan"" di setiap daerah pasti ada dan itu pasti salah satu tujuan untuk mengantarkan murid tersebut daftar PTN ",21:59,1090625550400409601,@trianani,JAWA BARAT,2
2019-01-30,Rawalo Banyumas,200,Zonasi untuk siapa? Kalau untuk guru sangat setuju  tp kl untuk siswa di lihat dulu  jangan 100% zonasi  terutama di daerah yg sekolah negrinya terbatas  tahun lalu peringkat 1 sekecamatan tidak bisa daftar di smp negri di kecamatannya karena rumahnya di luar zonasi  baiknya 50%,7:00,1090399300700463105,@unggul_hp,JAWA TENGAH,2
2019-01-29,Tangerang Indonesia,200,Dinas Pendidikan Kota Tangerang kembali mengkaji sistem zonasi Penerimaan Peserta Didik Baru (PPDB) Sekolah Menengah Pertama Negeri (SMPN) untuk tahun ajaran 2019/2020.  Pasalnya â€¦ https://www.instagram.com/p/BtNhRudHBUQ/?utm_source=ig_twitter_share&igshid=1ob8re9qnhgbj â€¦,15:10,1090160149916987392,@AboutTNG,BANTEN,1
2019-01-28,Tangerang Banten,200,setuju  saya dukung zonasi. beneran ya pemerintah  poin no 6 jangan terjadi lagi. semua sekolah harus di improve kualitasnya  kalau enggak ngapain anak anak ini sediain waktu buat sekolah kalau ketemu pendidikan yang tidak berkualitas.... https://www.facebook.com/story.php?story_fbid=10156012191977997&id=554492996 â€¦,17:52,1089838512336224256,@widartoadi,BANTEN,2
2019-01-28,Jakarta Pusat DKI Jakarta,200,Sebagai bentuk layanan publik  seluruh sekolah yang dikelola pemerintah (sekolah negeri) harus memberikan layanan kualitas yang sama tanpa diskriminasi.Salah satunya melalui kebijakan zonasi dalam rangka pemerataaan kualitas pendidikan. Setujukah #SahabatItjen dgn sistem zonasi?,16:56,1089824440332910592,@Itjen_Kemdikbud,DKI JAKARTA,1
2019-01-28,Jakarta Pusat DKI Jakarta,200,#SahabatItjen Sistem zonasi ini bertujuan untuk memberikan pemerataan pendidikan kpd seluruh masyarakat hingga di remote area.Selain itu  sistem ini memberikan kemudahan bagi pihak sekolah untuk memastikan seluruh anak usia sekolah bisa bersekolah.Apa saja manfaat sistem zonasi?,16:51,1089823287624884226,@Itjen_Kemdikbud,DKI JAKARTA,3
2019-01-28,Jakarta Pusat DKI Jakarta,200,#SahabatItjen  Sistem zonasi pendidikan diharapkan dpt menghilangkan label sekolah unggul/favorit karena pada dasarnya sekolah negeri yang memberikan layanan publik harus memenuhi 3 aspek:non rivalry  non excludability & non discrimination. Apa saja dampak adanya sekolah favorit?,16:45,1089821719680831488,@Itjen_Kemdikbud,DKI JAKARTA,1
2019-01-28,Yogyakarta Indonesia,200,Tentang ortu yg keberatan soal kebijakan zonasi area sekolah untuk penerimaan siswa baru: Mungkin you pernah denger sila kelima  Keadilan sosial bagi seluruh rakyat Indonesia.,9:48,1089716783634759680,@melisangela__,DI YOGYAKARTA,2
