date,lokasi,status,text,time,tweet_id,username,provinsi,label_1,label_2,label_3,label_4,label fix
2019-01-31,Kota Bandung Jawa Barat,200,Kenapa tidak dilakukan pemerataan kualitas dulu baru di berlakukan sistem zonasi ? terutama pemerataan FASILITAS sekolah karena jika semuanya sudah merata tanpa di paksa sistem pun masyarakat pasti lebih memilih sekolah yang lebih dekat,00:53,1090669319548096512,@yusuf_rizqi,JAWA BARAT,1,2,2,2,2
2019-01-28,Yogyakarta Indonesia,200,Tentang ortu yg keberatan soal kebijakan zonasi area sekolah untuk penerimaan siswa baru: Mungkin you pernah denger sila kelima  Keadilan sosial bagi seluruh rakyat Indonesia.,09:48,1089716783634759680,@melisangela__,DI YOGYAKARTA,2,2,2,2,2
2019-01-23,Bogor Jawa Barat,200,Iyes mbak e. Daku sangat tak setuju sistem zonasi ini. Pemerataan pendidikan bukan dengan pembatasan ekstrim. Sekolah favorit tu bagus  iklim kompetisi bagus buat perkembangan intelektual & mental  & nyatanya sekolah favorit punya fasilitas & metode ajar yg udah terlanjur oke,20:09,1088061248984408064,@Junoari,JAWA BARAT,2,2,2,2,2
2019-01-17,Tabanan Bali,200,Sistem yang dulu lebih baik  tanpa campur tangan penguasa yang titip sana titip sini  ga ada uang sogokan  ga ada sistem zonasi yang buat sekolah malah mundur. dulu siswa bisa sekolah dimana saja sesuai dengan kemauan dan passing grid. Sekarang untuk urusan sekolah saja sudah KKN,16:56,1085838345811386368,@afriesmart,BALI,2,2,2,2,2
2019-01-16,Yogyakarta Indonesia,200,Mohon maaf pak ganjar  kebijakan zonasi tujuannya bagus untuk menghilangkan status sekolah favorit dan memeratakan pelajar  akan tetapi kurang bijaksana mengingat kualitas guru dan fasilitas tiap sekolah masih ada kesenjangan antara sekolah favorit dgn sekolah pinggiran,17:09,1085479208199962626,@MNursafiq,DI YOGYAKARTA,2,2,3,2,2
2019-01-11,Bandung West Java Indonesia,200,Gara-gara Sistem Zonasi  Bus Sekolah di Bandung Sepi Peminat http://prfmnews.com/berita.php?detail=garagara-sistem-zonasi-bis-sekolah-di-bandung-sepi-peminat â€¦,11:49,1083586767024869376,@PRFMnews,JAWA BARAT,2,3,2,2,2
2019-01-10,Pemalang Jawa Tengah,200,Kalau bisa sih hapus juga sistem zonasi hehehe agar anak desa bisa sekolah di kota,08:32,1083174830185181189,@herupamungkas01,JAWA TENGAH,2,2,3,2,2
2019-02-22,Yogyakarta,200,Faktanya  turunnya minat siswa di tingkat kompetisi olimpiade sains dan sejenisnya  karena memang sekolah tsb kini tidak lagi menerima input siswa dengan nilai yang semuanya tinggi seperti halnya waktu lampau. Hadapi fakta bahwa ini adalah konsekuensi dr pemberlakuan sist ZONASI,18:20,1098905472483184641,@yuerekk,DI YOGYAKARTA,1,2,2,1,2
2019-02-11,Kediri Indonesia,200,monggo sharing sama saya  saya orang Kediri :) kalo anda kritik zonasi itu buruk dan kurang sana sini ya anda juga mendukung sekolah negeri terancam di merger dan otomatis di tutup karena masyarakat sekitar sekolah gamau disitu karena bukan sekolah favorit,10:01,1094793494789447680,@santisartikaa,JAWA TIMUR,2,2,3,2,2
2019-02-11,Jakarta Selatan DKI Jakarta,200,"pemikiran aku juga begitu  tapi ya emang ada orang2 kaya gitu.  Dan banyak ortu yg ga suka penerapan zonasi gitu  mereka ngerasa pendidikan anaknya terancam karna ga bs masuk yg ""berkualitas"" mnrt mereka.  ternyata banyak yg begitu juga  entah beli rumah atau kontrak demi sekolah",08:49,1094775425585180672,@AliciaVanAkker,DKI JAKARTA,2,2,2,2,2
2019-02-11,Cilegon-Banten,200,yap  tapi sistem zonasi salah satu tujuannya menghapus adanya sekolah favorit  dgn alasan pemerataan katanya. yatapi kan kasian anak berprestasi tp rumahnya agak jauh dr sekolah favorit. kuota hanya 5%.,00:19,1094647158588899329,@diniedyah,BANTEN,1,1,2,2,2
2019-02-10,Jakarta Selatan DKI Jakarta,200,bener  kenalan orang tua aku sampai beli rumah baru karna penerapan zonasi demi anaknya masuk ke sekolah favorite yg dimau anak dan ortunya.  gila sih sejujurnya  aku speechless abis,22:58,1094626619681992704,@AliciaVanAkker,DKI JAKARTA,2,3,2,2,2
2019-02-10,Kediri Indonesia,200,Mas nya tau ga? Kalo sekarang pemerintah khususnya Kemendikbud lagi gencar2nya menghapus namanya title 'sekolah favorit'? Nah salah satu tujuannya biar pendidikan bisa untuk semua orang seperti gaung wajib belajar 12 tahun  Kemendikbud pake aturan zonasi  banyak orang protes (1),21:50,1094609637138096128,@santisartikaa,JAWA TIMUR,2,2,1,1,2
2019-02-10,Bangka Belitung Indonesia,200,Sayang sekali kalau sekolah zonasi diterapkan pada jenjang SMA  karena menurut saya latar belakang sekolah termasuk menjadi faktor penting dlm penerimaan di PTN  Terima kasih,15:37,1094515708577251328,@Zulfa_ZA19,KEPULAUAN BANGKA BELITUNG,2,1,2,2,2
2019-02-08,Malang Jawa Timur,200,Bukanya ga setuju ya tapi upaya zonasi belum dibarengi dengan upaya perbaikan kualitas pembelajaran dan akreditasi di sekolah tersebut secara merata  Ya Korban nya siswanya apalagi untuk PPDB SMA  kualitas dimana dia diterima di SMA tsb ada andil buat masuk PTN nya nanti,18:13,1093830103291768832,@hfidhar,JAWA TIMUR,2,1,2,2,2
2019-02-08,Jakarta Selatan,200,4. Sistem zonasi diterapkan di semua wilayah  kecuali di daerah 3T krn faktor geografis yg sukar. Selain itu  juga tdk diterapkan pada SMK  sekolah swasta  sekolah berasrama & satuan pendidikan kerja sama yg mengombinasikan kurikulum nasional dgn internasional. #SemuaBisaSekolah,15:38,1093791191621988353,@Kemenperin_RI,DKI JAKARTA,1,2,2,1,2
2019-02-07,Blitar - East Java - Indonesia,200,[2] atau mempertimbangkan jarak tempat tinggal #siswa dengan #sekolah untuk pemerataan siswa.  Berdasarkan evaluasi dari #PPDB Sebelumnya  kuota untuk zonasi 90%  jalur prestasi 5% & pindah tugas orang tua sebesar 5%.  Aturan itu  menurutnya  membuat banyak #siswaberprestasi yg,03:19,1093242881584783360,@radiopatria,JAWA TIMUR,2,2,2,2,2
2019-03-28,Cikarang - Jombang - Depok,200,Trus jadi mikir kalo sekolah pake sistem zonasi  apa kualitas smandel bakal turun ya? Hmm  Pemerataan kualitas tu biar yang masih kurang bisa meninggi  bukan yang udah tinggi ikut merendah.. ya to?,06:55,1111054256700702720,@dewiwulaaan,JAWA BARAT,2,1,2,2,2
2019-03-27,Kediri Indonesia,200,Terlalu memaksa  ambisius  orang tuanya bukan anaknya. Alhamdulilah sekarang sudah ada permendikbud tentang zonasi  mau gamau nih kalo mau sekolah di negeri ya harus sekolah di deket rumah.,14:19,1110803449967316992,@santisartikaa,JAWA TIMUR,1,2,2,1,2
2019-03-19,Bandung,200,Harusnya sekolah lanjutan jgn cuma terpaku sama nilai UN ya jd aj siswanya stress tkut nilai kecil gak bisa masuk sekolah favorit eh kena zonasi pula. Masalahny yg jd momok menakutkan UN itu krn nilai UN dianggap lebih penting dripada USBN dan nilai lainnya.,19:24,1107981087198724099,@liliezmrty,JAWA BARAT,2,2,2,2,2
2019-03-19,Kota Magelang,200,"Gak hanya itu bang. Dengan adanya sistem zonasi pasca lulus SD dan SMP   kesakralan un juga menghilang. Pernah saya bertanya kepada siswa SMP   berkahir dengan jawaban yang lucu "" ngapain nilai bagus toh gak di sekolah itu. Ngapain nilai bagus toh kalah dengan yang punya SKTM .",17:39,1107954862602358784,@MuhamadAtik7,JAWA TENGAH,2,1,2,2,2
2019-03-08,Malang,200,23. Manfaat Zonasi Sekolah itu banyak lho  salah satunya adalah penerapan pendidikan karakter. Pendidikan Karakter ini penting banget untuk mencetak generasi yg tidak hanya pintar dalam akademik tapi juga punya kecerdasan emosional. #ManfaatZonasiSekolah,15:39,1103938217596735490,@IhwanBiru,JAWA TIMUR,2,1,2,1,2
2019-03-08,Bogor Indonesia,200,Seperti apa kata Pak Mendikbud  zonasi sekolah ini sebagai pemerataan pendidikan yg berkualitas. Supaya gak ada ketimpangan di masyarakat. #ManfaatZonasiSekolah,15:28,1103935558496051200,@melfeyadin,JAWA BARAT,2,3,2,1,2
2019-03-05,Sukabumi Indonesia,200,Pak gubernur sistem zonasi sekolah smp sma apa tidak membuka celah penyogokan orang tua murid yang ingin masuk sekolah favorit?mungkin bapak bisa mempertimbangkan...,18:36,1102895601476198402,@mackym1,JAWA BARAT,2,3,2,2,2
2019-03-04,Blitar Jawa Timur,200,sekarang masuk sekolah masih tergantung zonasi gak sih? harusnya bisa sih pake nilai rapot  trus piagam penghargaan (lomba individu) sebagai nilai tambah,14:02,1102464215833489408,@bintangpelangi,JAWA TIMUR,2,2,3,2,2
2019-03-02,Bandung Jawa Barat,200,Zonasi berdasarkan kecamatan atau gmn sih ? Soalnya sekolah di kecamatanku dikit banget  jauh lagi  lebih deket ke kota malah  yang bagus2 sekolahnya di kota. Jadi kaya rugi  sma di kecamatan cuma 1 dan jauh banget  gada akses kendaraan umum lagi :/,10:45,1101690044803276800,@lilcandice_,JAWA BARAT,1,2,2,3,2
