date,lokasi,status,text,time,tweet_id,username,provinsi,label_1,label_2,label_3,label_4,label fix
2019-01-30,Bekasi - Semarang,200,"Mau saran ajasih Pak/Bu  kalau mau memakai sistem zonasi dalam jangka panjang  pemerataan fasilitas dan kualitas setiap sekolah harus sama rata. Karena label ""sekolah unggulan"" di setiap daerah pasti ada dan itu pasti salah satu tujuan untuk mengantarkan murid tersebut daftar PTN ",21:59,1090625550400409601,@trianani,JAWA BARAT,1,1,1,1,1
2019-01-28,Tangerang Banten,200,setuju  saya dukung zonasi. beneran ya pemerintah  poin no 6 jangan terjadi lagi. semua sekolah harus di improve kualitasnya  kalau enggak ngapain anak anak ini sediain waktu buat sekolah kalau ketemu pendidikan yang tidak berkualitas.... https://www.facebook.com/story.php?story_fbid=10156012191977997&id=554492996 â€¦,17:52,1089838512336224256,@widartoadi,BANTEN,1,1,1,1,1
2019-01-28,Jakarta Pusat DKI Jakarta,200,#SahabatItjen Sistem zonasi ini bertujuan untuk memberikan pemerataan pendidikan kpd seluruh masyarakat hingga di remote area.Selain itu  sistem ini memberikan kemudahan bagi pihak sekolah untuk memastikan seluruh anak usia sekolah bisa bersekolah.Apa saja manfaat sistem zonasi?,16:51,1089823287624884226,@Itjen_Kemdikbud,DKI JAKARTA,1,1,1,1,1
2019-01-28,Jakarta Pusat DKI Jakarta,200,#SahabatItjen  Sistem zonasi pendidikan diharapkan dpt menghilangkan label sekolah unggul/favorit karena pada dasarnya sekolah negeri yang memberikan layanan publik harus memenuhi 3 aspek:non rivalry  non excludability & non discrimination. Apa saja dampak adanya sekolah favorit?,16:45,1089821719680831488,@Itjen_Kemdikbud,DKI JAKARTA,1,1,1,1,1
2019-01-15,yogyakarta indonesia,200,Tambahan pendidikan moral perlu ditingkatkan dan aturan dalam seleksi masuk sekolah (zonasi/yg lain) perlu ditinjau kembali pak,10:08,1085010825746632705,@djeto_catur,DI YOGYAKARTA,1,3,1,1,1
2019-01-09,Tegal Jawa Tengah,200,RT @ganjarpranowo : Saya pastikan SKTM tidak berlaku lagi pada penerimaan siswa baru SMA/SMK 2019. Dasar penilaian masuk sekolah adalah prestasi. Namun bagi siswa tidak mampu jangan khawatir  kami jamin bisa sekolah sesuai zonasi dan diberikan beasiswa.,13:18,1082884172019089409,@ElshintaTegal,JAWA TENGAH,2,1,1,3,1
2019-02-22,Yogyakarta,200,Terlepas dari sepakat/tidaknya sist zonasi ini  tujuan utama zonasi ini adalah pemerataan pendidikan supaya tidak ada lagi ketimpangan antara sekolah favorit dan yang tidak. Maka  kini saya rasa pihak sekolah harus menghadapi kenyataan bahwa SDMnya harus mempersiapkan diri.,18:25,1098906681701003264,@yuerekk,DI YOGYAKARTA,1,1,1,1,1
2019-02-21,Payakumbuh Indonesia,200,Diharapkan dengan diberlakukan zonasi ini bisa menjadi penyetaraan kualitas sekolah  sehingga tidak ada lagi sekolah yang tutup karena kekurangan siswa. Selain itu juga dilakukan penyebaran guru dan peningkatan fasilitas sekolah agar kualitas...,21:48,1098595263889866752,@ulsikumbang,SUMATERA BARAT,1,1,1,1,1
2019-02-21,Yogyakarta Indonesia,200,Ketika banyak orang tua berbondong2 mendaftarkan anaknya ke sekolah favorit di kota kami. Sementara di sudut lain  kami justru berpeluh mencari peserta didik untuk mau menuntaskan wajib belajar. Sistem zonasi adalah proses panjang menuju  pemerataan peserta didik.,19:46,1098564728379473920,@herdianasukma,DI YOGYAKARTA,1,2,3,1,1
2019-02-10,Jakarta-Samarinda,200,Tantangannya berat. Pemerintah pusat sudah berusaha menghapus label itu  dan menerapkan zonasi. Di lapangan  apalagi daerah luar pulau Jawa  label sekolah favorit enggak semudah itu dihilangkan. Mudah-mudahan bisa berjalan baik.,21:56,1094611090229612544,@DragonoHalim,KALIMANTAN TIMUR,1,1,1,2,1
2019-02-04,Semarang Jawa Tengah,200,Dengan Sistem Zonasi  Keluarga Miskin Jangan Takut Sekolah - https://is.gd/UQOlZU  #BeritaSemarang #AsatuID #JatengGayeng,19:51,1092405186012823554,@asatuid,JAWA TENGAH,1,2,1,1,1
2019-03-20,KradenanBloraIndonesia,200,#Repost @DikdasmenDikbud (get_repost) ăƒ»ăƒ»ăƒ» Melalui sistem Zonasi hal terpenting adalah mendekatkan siswa dengan sekolah. Tidak ada lagi stigma favoritisasi sekolah. Dan meningkatkanâ€¦ https://www.instagram.com/p/BvNoRhDD1Yd/?utm_source=ig_twitter_share&igshid=tcmabuc8fl1g â€¦,09:15,1108190217985507329,@SDN5Mendenrejo,JAWA TENGAH,2,1,1,1,1
2019-03-19,Bandung,200,Masa sih anak pintar mau ujian gak belajar?. Pemetaan itu perlu jg. Yg ditakutkan siswa itu dpt nilai UN jelek trus gak bisa masuk sekolah favorit. Padahal nnti kena sistem zonasi dan rayon juga. Sebenarny mau sekolah dimana saja jg sama dn gk ad skolah favorit lg,20:24,1107996387495432193,@liliezmrty,JAWA BARAT,1,2,1,1,1
2019-03-19,Bandung,200,Skrang sudah sistem zonasi dan rayon sih jd gk ad sekolah favorit lagi. Kan masih ad sekolah bagus lainnya  org tua jg hrus cerdik menilai minat dan bakat anak sehingga bisa mengarahkan k sekolah yg sesuai minat bakat anak. Maaf bukan mengajari,20:11,1107993015014977536,@liliezmrty,JAWA BARAT,1,2,1,1,1
2019-03-19,Bandung,200,Zonasi tujuannya supaya gak ad lagi sekolah2 favorit atau unggulan di sekolah negeri lainnya,01:57,1107717797071581185,@liliezmrty,JAWA BARAT,1,1,1,3,1
2019-03-09,Pekanbaru Riau,200,Mendikbud: Sistem Zonasi Untuk Menghapus Predikat Sekolah Favorit https://www.goriau.com/berita/baca/mendikbud-sistem-zonasi-untuk-menghapus-predikat-sekolah-favorit.html?utm_source=dlvr.it&utm_medium=twitter â€¦ .. #GoRiau,13:02,1104261038654992384,@GoRiauCom,RIAU,3,1,1,2,1
2019-03-08,Jakarta Pusat,200,Slhsatu kebijakan dr sistem zonasi ini adalah setiap sekolah hrus mnerima min 90% siswa di daerahnya dan hanya 5% siswa dr daerah lain.  #ManfaatZonasiSekolah,16:30,1103951029836558336,@mudrikahsiti,DKI JAKARTA,3,1,1,2,1
2019-03-08,Yogyakarta Indonesia,200,#ManfaatZonasiSekolah  Manfaat zonasi sekolah menyehatkan  apalagi orangtua bisa mengenalkan aplikasi kesehatan @k24klik . Mulai mengenalkan aplikasi kesehatan dan kurangi aplikasi game ya.   https://www.instagram.com/p/BufjFuulrEF/,16:22,1103949189644337157,@k24klik,DI YOGYAKARTA,1,3,1,1,1
2019-03-08,Jakarta Pusat,200,"Nah yg mnjadi slah satu fokus sistem zonasi adalah agar lambat laun kita mnghapus sugesti ""sekolah favorite"" #ManfaatZonasiSekolah",16:18,1103948130892967938,@mudrikahsiti,DKI JAKARTA,1,2,1,1,1
2019-03-08,Malang,200,Nah betul ini  jangan mentang mentang cari swkolah yang fav. Kondisi anak tidak diperhatikan. Untunglah zonasi sekolah udah mulai di terapkan ya.. #ManfaatZonasiSekolah,15:54,1103941941639602179,@kwardani_retno,JAWA TIMUR,1,2,1,1,1
2019-03-08,Bogor Indonesia,200,Kesimpulannya  sistem zonasi sekolah ini menurutku banyak positifnya. #ManfaatZonasiSekolah,15:49,1103940672015327234,@melfeyadin,JAWA BARAT,1,2,1,1,1
2019-03-08,Malang,200,25. Ketimpangan di masyarakat itu ga hanya soal ekonomi saja  pendidikan anak pun bisa jadi sumber ketimpangan. So mari dukung Zonasi Sekolah ini ya Tweeps. #ManfaatZonasiSekolah,15:43,1103939307750879232,@IhwanBiru,JAWA TIMUR,2,1,1,1,1
2019-03-08,Surakarta Indonesia,200,Semoga tahun depan sistem Zonasi Sekolah bisa maksimal tidak seperti tahun kemarin #ManfaatZonasiSekolah,15:42,1103939127664205824,@zenithdevara_,JAWA TENGAH,1,2,1,3,1
2019-03-08,Malang,200,24. Kasus siswa yang berani pada guru bahkan melakukan kekerasan adalah bukti nyata bahwa pendidikan karakter para siswa itu penting. Nah lewat Zonasi Sekolah inilah salah satu cara untuk mengatasinya. #ManfaatZonasiSekolah,15:41,1103938849611296768,@IhwanBiru,JAWA TIMUR,1,2,1,1,1
2019-03-08,Jakarta Timur,200,Dengan zonasi sekolah  bismillah ya anak bisa masuk sekolah yang terdekat dengan rumah. Selain hemat transfortasi  dekat dengan keluarga juga.   #ManfaatZonasiSekolah,15:41,1103938730363019265,@PenaLiswanti,DKI JAKARTA,1,2,1,1,1
2019-03-08,Bogor Indonesia,200,Keempat  penetapan radius zona pada sistem zonasi ditentukan oleh pemda dengan melibatkan musyawarah/kelompok kerja kepala sekolah. #ManfaatZonasiSekolah,15:39,1103938310945161217,@melfeyadin,JAWA BARAT,1,2,1,3,1
2019-03-08,Malang,200,21. Saya mendukung juga penerapan Zonasi Guru  semoga dengan begini kualitas pendidikan bisa merata di setiap sekolah. #ManfaatZonasiSekolah,15:34,1103937095226122240,@IhwanBiru,JAWA TIMUR,1,1,2,1,1
2019-03-08,Jakarta Timur,200,Untuk kebijakan zonasi sekolah  diatur pada Permendikbud Nomor 14 Tahun 2018 diantaranya menjamin pemerataan akses pendidikan  hingga mencegah penumpukan SDM berkualitas dalam satu wilayah. #ManfaatZonasiSekolah,15:23,1103934272648273921,@PenaLiswanti,DKI JAKARTA,1,3,1,1,1
2019-03-08,Jakarta Pusat,200,Bagi sekolah SD selain sistem zonasi  hrus mempertimbangkan jg faktor minimum usia masuk sekolah ya #ManfaatZonasiSekolah,15:23,1103934136186593281,@mudrikahsiti,DKI JAKARTA,1,1,1,1,1
2019-03-08,Bogor Indonesia,200,Ini juga yg penting mengapa ada zonasi sekolah. Krn utk mengurangi penumpukan guru2 berkualitas hanya di sekolah2 tertentu atau favorit saja. #ManfaatZonasiSekolah,15:22,1103934028317519873,@melfeyadin,JAWA BARAT,1,1,1,1,1
2019-03-08,Malang,200,Zonasi sekolah mempermudah komunikasi antara sekolah dengan wali murid serta masyarakat sekitar sehungga pembinaan karakter lebih mudah dilakukan #ManfaatZonasiSekolah,15:22,1103933914651881472,@kwardani_retno,JAWA TIMUR,1,1,1,1,1
2019-03-08,Bogor Indonesia,200,Salah satu yg penting banget nih. Banyak anak2 terpaksa harus sekolah yg jaraknya jauh dr rumah krn tak diterima di sekolah dekat rumah  krn nilainya rendah. Zonasi sekolah ini utk mengatasi hal tersebut. #ManfaatZonasiSekolah,15:21,1103933696841736192,@melfeyadin,JAWA BARAT,2,1,1,1,1
2019-03-08,Malang,200,Dengan zonasi sekolah  diharapkan semua anak Indonesia bisa lulus wajib belajar 12 tahun #ManfaatZonasiSekolah,15:21,1103933657499107329,@kwardani_retno,JAWA TIMUR,1,1,1,1,1
2019-03-08,Bogor Indonesia,200,Seperti yg sudah disebutkan tadi. Adanya zonasi sekolah ini jg memudahkan orang tua dan jg masyarakat utk terlibat dalam membentuk karakter anak didik semasa sekolah. #ManfaatZonasiSekolah,15:19,1103933328153931776,@melfeyadin,JAWA BARAT,1,1,1,1,1
2019-03-08,Bogor Indonesia,200,Krn dengan adanya zonasi sekolah  peta guru jg sarana dan prasana pendidikan lebih terarah dan jelas. Sehingga memudahkan dalam penanganan masalah yg ada.  #ManfaatZonasiSekolah,15:18,1103933053083086848,@melfeyadin,JAWA BARAT,1,1,1,1,1
2019-03-08,Bekasi,200,Buat calon siswa SD  seleksi zonasi ini tuh merupakan seleksi kedua setelah seleksi usia siswa  kalau kataku mah ini malah mempermudah para orang tua buat memilih sekolah ya #ManfaatZonasiSekolah,15:15,1103932137038733313,@katanatara,JAWA BARAT,1,1,1,1,1
2019-03-08,Jakarta Timur,200,Dengan zonasi sekolah ini  ga ada lagi nih istilah sekolah favorit. Da semua sekolah mah sama ya. #ManfaatZonasiSekolah,15:14,1103932053257482240,@PenaLiswanti,DKI JAKARTA,3,1,1,1,1
2019-03-08,Malang,200,Kalau untuk jangka panjang  memang sistem zonasi sekolah ini bagus sekali ke depannya #ManfaatZonasiSekolah,15:09,1103930830689206272,@kwardani_retno,JAWA TIMUR,1,1,1,1,1
2019-03-08,Malang,200,Dengan adanya zonasi sekolah ini  jadi lebih merata ya mbak.. #ManfaatZonasiSekolah,15:08,1103930399175073793,@kwardani_retno,JAWA TIMUR,1,1,1,1,1
2019-03-08,Tangerang Selatan,200,20. Mungkin ada yang menganggap system zonasi ini merepotkan  jadi ga bisa daftar di sekolah favorit. Tapi percaya lah. System ini sebenarnya bagus untuk pemerataan kualitas pendidikan. Jadi ga numpuk semua di sekolah favorit. #ManfaatZonasiSekolah,15:07,1103930230253617152,@mayasiswadi,BANTEN,1,1,1,1,1
2019-03-08,Bogor Indonesia,200,Nah  klo sekarang semua dg adanya zonasi sekolah ini  semua siswa bisa mendapatkan hak yg sama dalam akses  distribusi dan kualitas pendidikan. #ManfaatZonasiSekolah,15:07,1103930110145572865,@melfeyadin,JAWA BARAT,3,1,1,1,1
2019-03-08,Malang,200,17. Zonasi Sekolah ini menjadi seleksi kedua setelah faktor usia minimum masuk sekolah terpenuhi. #ManfaatZonasiSekolah,15:06,1103929852120326144,@IhwanBiru,JAWA TIMUR,1,3,1,1,1
2019-03-08,Bekasi,200,Terus yang jelas sistem zonasi ini bisa menghindari adanya penumpukan guru berkualitas di satu sekolah saja  lah kan yang pengen punya guru berkualitas bukan cuma mereka yang berprestasi aja #ManfaatZonasiSekolah,15:05,1103929629813891072,@katanatara,JAWA BARAT,1,1,1,1,1
2019-03-08,Bogor Indonesia,200,Manfaat zonasi sekolah ini jg salah satunya mencegah penumpukan SDM berkualitas dalam satu wilayah doank. #ManfaatZonasiSekolah,15:02,1103929063935107077,@melfeyadin,JAWA BARAT,1,1,1,1,1
2019-03-08,Bekasi,200,Jadi dengan adanya zonasi sekolah ini  sekolah akan lebih dekat deh dengan peserta didiknya  moon maap nih  ga ada lagi deh alasan telat karena rumah jauh. Hehehe... #ManfaatZonasiSekolah,15:00,1103928380339105794,@katanatara,JAWA BARAT,1,1,1,1,1
2019-03-08,Bogor Indonesia,200,Salah satu tujuan kebijakan zonasi sekolah ini adalah utk menghilangkan eksklusivitas dan diskriminasi di sekolah negeri (yg selama ini sering terjadi) #ManfaatZonasiSekolah,14:59,1103928307685384199,@melfeyadin,JAWA BARAT,1,1,2,1,1
2019-03-08,Tangerang Selatan,200,17. Ini lho alasan sebenarnya diterapkan system zonasi. Yah  harapannya sih ga ada lagi sekolah favorit. Semua sekolah harusnya sih bisa jadi sekolah favorit. Ya kan gaeeess? #ManfaatZonasiSekolah,14:58,1103927926431473665,@mayasiswadi,BANTEN,1,1,1,1,1
